"My Wishlists","My Wishlists"
"+ New Wishlist","+ New Wishlist"
"New Wishlist","New Wishlist"
"Wishlist Name","Wishlist Name"
"Items","Items"
"Actions","Actions"
"Default","Default"
"View","View"
"Delete","Delete"
"Save","Save"
"Cancel","Cancel"
"Back to My Wishlists","Back to My Wishlists"
"Product","Product"
"Price","Price"
"Qty","Qty"
"Comment","Comment"
"Add to Cart","Add to Cart"
"Remove","Remove"
"You have no wishlists. Create one to get started.","You have no wishlists. Create one to get started."
"This wishlist has no items yet.","This wishlist has no items yet."
"Wishlist name is required.","Wishlist name is required."
"Wishlist ""%1"" created.","Wishlist ""%1"" created."
"Wishlist ""%1"" has been created.","Wishlist ""%1"" has been created."
"Could not create wishlist.","Could not create wishlist."
"Wishlist not found.","Wishlist not found."
"Cannot delete your default wishlist.","Cannot delete your default wishlist."
"Wishlist deleted.","Wishlist deleted."
"Wishlist has been deleted.","Wishlist has been deleted."
"Could not delete wishlist.","Could not delete wishlist."
"Delete this wishlist and all its items?","Delete this wishlist and all its items?"
"Remove this item from the wishlist?","Remove this item from the wishlist?"
